time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/entropy_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/n_updates
1,2048,4,495,,,,,,,,,,,
2,4096,8,466,0.0003,-14.220539432764053,25510.970703125,0.012369109,1.0049699544906616,0.141357421875,53292.653332519534,-0.02569491704343818,0.2,0.00012934207916259766,10
3,6144,13,471,0.0003,-14.234225562214851,8094.73779296875,0.0147474,1.0041941404342651,0.1521484375,18722.175827026367,-0.02833972957887454,0.2,0.035719215869903564,20
4,8192,17,474,0.0003,-14.221972161531449,15686.541015625,0.008743625,1.0028445720672607,0.065087890625,29486.55733642578,-0.019786155788460748,0.2,-0.010203123092651367,30
5,10240,21,476,0.0003,-14.230537375807762,7370.11962890625,0.009359507,1.0058813095092773,0.06640625,18035.160717773437,-0.01855758096498903,0.2,0.11387157440185547,40
6,12288,25,473,0.0003,-14.24850873053074,15325.0341796875,0.0075973226,1.005979299545288,0.040673828125,26459.556869506836,-0.01684115949610714,0.2,-0.003816366195678711,50
7,14336,30,474,0.0003,-14.253485745191574,12041.9658203125,0.007451916,1.0071275234222412,0.04169921875,25308.1978515625,-0.014931418794731144,0.2,0.029276549816131592,60
8,16384,34,474,0.0003,-14.274718248844147,9164.9931640625,0.0079095755,1.0101977586746216,0.04853515625,19961.756741333007,-0.015300192733411678,0.2,-0.002329230308532715,70
9,18432,38,475,0.0003,-14.288794350624084,6117.71337890625,0.010247907,1.010249376296997,0.072607421875,13152.650885009765,-0.01936289184668567,0.2,-0.1309138536453247,80
10,20480,42,476,0.0003,-14.292457890510558,17192.203125,0.009096295,1.0108295679092407,0.059375,36276.62609863281,-0.018986756933736616,0.2,-0.017601728439331055,90
11,22528,47,475,0.0003,-14.322413313388825,9890.265625,0.013994883,1.0161844491958618,0.1296875,22978.06435546875,-0.02563385586545337,0.2,0.023315370082855225,100
12,24576,51,475,0.0003,-14.347119197249413,12013.5341796875,0.013013119,1.0164110660552979,0.139794921875,22341.13057861328,-0.029683711015968582,0.2,0.0018033385276794434,110
13,26624,55,476,0.0003,-14.389396244287491,6199.38037109375,0.014738066,1.0222992897033691,0.158349609375,14248.298538208008,-0.03264291871455498,0.2,-0.00268399715423584,120
14,28672,60,476,0.0003,-14.42198467552662,7533.24169921875,0.0141409375,1.0249990224838257,0.167138671875,16818.017990112305,-0.03185290105757303,0.2,-0.0018825531005859375,130
15,30720,64,477,0.0003,-14.466323256492615,8866.5107421875,0.014462021,1.0305179357528687,0.15146484375,16246.022213745116,-0.030592422935296782,0.2,0.0019567012786865234,140
16,32768,68,478,0.0003,-14.511032596230507,20889.2109375,0.012107293,1.0350151062011719,0.12734375,41679.81525268555,-0.025046496154391206,0.2,-0.00045096874237060547,150
17,34816,72,479,0.0003,-14.53902125954628,13639.7529296875,0.01443968,1.036336898803711,0.1619140625,25265.07208862305,-0.031485554564278574,0.2,0.00031489133834838867,160
18,36864,76,479,0.0003,-14.567335414886475,7228.39697265625,0.013243066,1.0402730703353882,0.149658203125,16895.915124511717,-0.025586362250032836,0.2,3.331899642944336e-05,170
19,38912,80,480,0.0003,-14.590504506230355,9765.7080078125,0.013848182,1.041865348815918,0.15048828125,17522.52371826172,-0.03751227568136528,0.2,0.00020229816436767578,180
20,40960,85,481,0.0003,-14.58348669707775,8631.9892578125,0.014692736,1.038949966430664,0.172705078125,15899.514022827148,-0.03930010266485624,0.2,0.00015604496002197266,190
21,43008,89,481,0.0003,-14.52789331972599,11847.1884765625,0.014277486,1.0321354866027832,0.162353515625,20262.381872558595,-0.03554491945833434,0.2,-0.00038611888885498047,200
22,45056,93,482,0.0003,-14.50989435017109,11445.6142578125,0.0125145875,1.0334112644195557,0.129833984375,22429.674212646485,-0.02932329952600412,0.2,5.02467155456543e-05,210
23,47104,97,483,0.0003,-14.529806855320931,6200.36279296875,0.014949901,1.0350618362426758,0.17001953125,15599.672811889648,-0.03419722460093908,0.2,8.618831634521484e-05,220
24,49152,101,483,0.0003,-14.546222007274627,13143.0126953125,0.013288219,1.0378448963165283,0.135205078125,30147.54896850586,-0.031032164662610738,0.2,-0.00021207332611083984,230
25,51200,105,483,0.0003,-14.557644733786583,14226.4248046875,0.013633439,1.0378614664077759,0.14638671875,27380.38049926758,-0.032170847817906176,0.2,7.039308547973633e-05,240
26,53248,109,484,0.0003,-14.549017423391343,4546.16650390625,0.018947693,1.036660075187683,0.207080078125,8770.111674499512,-0.03255415552703198,0.2,3.8683414459228516e-05,250
27,55296,114,484,0.0003,-14.513754203915596,15014.1962890625,0.0140665155,1.030482292175293,0.135595703125,29388.647918701172,-0.03354534295212943,0.2,-1.9788742065429688e-05,260
28,57344,118,485,0.0003,-14.492365059256553,4775.09228515625,0.016600512,1.0313032865524292,0.1833984375,9669.410514831543,-0.03180140237382147,0.2,-0.00010561943054199219,270
29,59392,122,485,0.0003,-14.5090743124485,20796.275390625,0.013781314,1.0334800481796265,0.149609375,36581.75488891602,-0.029281187447486444,0.2,4.1961669921875e-05,280
30,61440,126,484,0.0003,-14.509311801195144,16769.31640625,0.01448736,1.0311260223388672,0.144921875,24334.09436645508,-0.03204288786510005,0.2,-5.364418029785156e-06,290
31,63488,131,484,0.0003,-14.49928634762764,3784.845458984375,0.01822441,1.0325584411621094,0.2150390625,9168.576287841797,-0.03573847761144862,0.2,-1.0967254638671875e-05,300
32,65536,135,483,0.0003,-14.505313241481781,7295.86181640625,0.015728246,1.0314476490020752,0.1783203125,14216.883227539063,-0.03497646830510348,0.2,-5.125999450683594e-06,310
33,67584,139,483,0.0003,-14.501065289974212,6736.2880859375,0.014890125,1.0319623947143555,0.1677734375,17638.61030883789,-0.03264750099624507,0.2,9.953975677490234e-06,320
34,69632,144,482,0.0003,-14.530318707227707,7032.26513671875,0.015080657,1.036449670791626,0.164892578125,20072.6591796875,-0.033701219951035456,0.2,-1.7881393432617188e-05,330
35,71680,148,483,0.0003,-14.546354350447654,17434.56640625,0.013681173,1.036568284034729,0.120556640625,34815.67747192383,-0.028848879435099662,0.2,-3.4570693969726562e-06,340
36,73728,152,483,0.0003,-14.569845440983773,16029.0146484375,0.013208473,1.0405824184417725,0.13740234375,29573.712432861328,-0.030452044669073076,0.2,1.519918441772461e-05,350
37,75776,156,483,0.0003,-14.56656085550785,15969.9443359375,0.014604871,1.0369704961776733,0.1521484375,35216.78383789062,-0.03582843286567368,0.2,2.7418136596679688e-06,360
38,77824,160,483,0.0003,-14.56410938501358,11192.8359375,0.015693966,1.038852572441101,0.157080078125,29281.4453125,-0.029483785209595225,0.2,-5.960464477539062e-07,370
39,79872,165,483,0.0003,-14.589512565732003,8782.728515625,0.016592363,1.0424858331680298,0.193701171875,18069.078811645508,-0.03352726842858829,0.2,-7.3909759521484375e-06,380
40,81920,169,482,0.0003,-14.620609337091446,8377.2841796875,0.015592357,1.046324372291565,0.173876953125,18129.63253173828,-0.03097209889383521,0.2,1.239776611328125e-05,390
41,83968,173,483,0.0003,-14.662536099553108,5662.14111328125,0.016731896,1.0501552820205688,0.19794921875,12135.545922851563,-0.03481360531004611,0.2,1.3709068298339844e-06,400
