time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/std,train/clip_fraction,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/value_loss
3,1,567,2048,,,,,,,,,,,
7,2,531,4096,1.0000228881835938,0.132080078125,0.2,33308.16015625,0.010605384,10,-14.19302620589733,-0.00022614002227783203,-0.024671083020803054,0.0003,69538.56395263672
12,3,504,6144,1.0007556676864624,0.07197265625,0.2,47027.3359375,0.0076304255,20,-14.194831222295761,-0.005988717079162598,-0.01861003647936741,0.0003,88381.00080566407
16,4,490,8192,1.0017832517623901,0.0572265625,0.2,34192.45703125,0.008244546,30,-14.201240861415863,0.005733788013458252,-0.015297440503491088,0.0003,79639.20297851562
21,5,471,10240,1.0033296346664429,0.049267578125,0.2,36264.078125,0.0070269783,40,-14.21388745009899,0.011502385139465332,-0.013690170826157555,0.0003,79818.94581298828
26,6,460,12288,1.0057494640350342,0.089892578125,0.2,29092.6015625,0.009208253,50,-14.23318073451519,0.0026251673698425293,-0.019472935005615,0.0003,64654.125659179685
31,7,450,14336,1.006943702697754,0.075,0.2,37874.984375,0.0077183014,60,-14.254015186429024,0.005522012710571289,-0.01862401430553291,0.0003,77580.43502197266
37,8,440,16384,1.0097358226776123,0.081591796875,0.2,46975.78515625,0.008401255,70,-14.272582390904427,0.0006323456764221191,-0.021437923089251854,0.0003,96824.4029296875
42,9,432,18432,1.0121877193450928,0.10439453125,0.2,40364.98046875,0.009258268,80,-14.299194133281707,0.0007526278495788574,-0.021083065061247908,0.0003,86101.32849121094
48,10,424,20480,1.0129936933517456,0.10908203125,0.2,31223.865234375,0.009465797,90,-14.317825317382812,0.0002447962760925293,-0.02555203206720762,0.0003,59647.84174804688
54,11,414,22528,1.0126737356185913,0.087841796875,0.2,32064.361328125,0.00902663,100,-14.314896193146705,0.00035858154296875,-0.020918811330921015,0.0003,71139.6721435547
60,12,406,24576,1.0116894245147705,0.0935546875,0.2,46081.59375,0.008449696,110,-14.308195167779923,0.00010669231414794922,-0.021537036850349977,0.0003,88345.28833007812
66,13,398,26624,1.0156325101852417,0.122412109375,0.2,43875.73828125,0.011093615,120,-14.328215730190276,0.00023567676544189453,-0.02652322425856255,0.0003,84826.51440429688
73,14,388,28672,1.0198183059692383,0.1154296875,0.2,33273.7890625,0.010015551,130,-14.365575325489043,4.941225051879883e-05,-0.02500217710767174,0.0003,80232.72657470703
80,15,380,30720,1.0193605422973633,0.106689453125,0.2,43383.359375,0.009432085,140,-14.380993989109992,6.246566772460938e-05,-0.02198057712521404,0.0003,92114.23479003906
87,16,372,32768,1.0223928689956665,0.099169921875,0.2,34486.68359375,0.010021986,150,-14.394859617948532,-0.00016808509826660156,-0.023491429386194796,0.0003,78596.39233398438
96,17,361,34816,1.02553391456604,0.1125,0.2,37217.51953125,0.010495181,160,-14.42605263888836,5.412101745605469e-05,-0.02497830168285873,0.0003,80931.44438476562
104,18,352,36864,1.0264930725097656,0.109033203125,0.2,40160.37890625,0.010401274,170,-14.442723855376244,1.2695789337158203e-05,-0.025765084772137924,0.0003,78058.20887451172
