time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/std,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/entropy_loss,train/approx_kl,train/clip_range
483,65536,135,32,-0.00014197826385498047,1.1535707712173462,0.202294921875,0.0003,310,1816.965493774414,-0.032350134156877174,895.2919921875,-15.592183291912079,0.018553767,0.2
483,67584,139,33,1.7821788787841797e-05,1.1632791757583618,0.203125,0.0003,320,1798.035827255249,-0.03022521428647451,576.8070068359375,-15.659099194407464,0.015796365,0.2
482,69632,144,34,-0.00711369514465332,1.1723908185958862,0.212451171875,0.0003,330,1745.0268657684326,-0.026745203830068932,525.8892822265625,-15.735350182652473,0.021201704,0.2
483,71680,148,35,-1.3470649719238281e-05,1.1804847717285156,0.221826171875,0.0003,340,1764.0458400726318,-0.029717133147642016,573.406494140625,-15.80627301633358,0.01955674,0.2
482,73728,152,36,-0.00010478496551513672,1.1830538511276245,0.18232421875,0.0003,350,1761.9176431655883,-0.02656463464081753,538.1048583984375,-15.85670030117035,0.01725252,0.2
482,75776,156,37,0.004296600818634033,1.1942604780197144,0.2220703125,0.0003,360,1692.1087869644166,-0.027183138331747615,819.4278564453125,-15.916653338074685,0.021240283,0.2
483,77824,161,38,-0.0007717609405517578,1.2031264305114746,0.194873046875,0.0003,370,1758.2833660125732,-0.028164693643338977,1218.087890625,-15.989812526106835,0.018089332,0.2
483,79872,165,39,-9.775161743164062e-06,1.2010034322738647,0.178271484375,0.0003,380,1977.698509788513,-0.029438195808324963,1717.7257080078125,-16.012901699543,0.016123548,0.2
483,81920,169,40,-1.0013580322265625e-05,1.2056735754013062,0.22109375,0.0003,390,1812.0240633010865,-0.028316343555343338,890.2350463867188,-16.024484103918077,0.018945739,0.2
483,83968,173,41,-0.04243922233581543,1.2087745666503906,0.197412109375,0.0003,400,1797.9990766525268,-0.030229095014510675,740.0261840820312,-16.068093413114546,0.016410861,0.2
483,86016,178,42,-0.0018607378005981445,1.218639850616455,0.224951171875,0.0003,410,1721.0376735687255,-0.024430652032606304,483.4794006347656,-16.10794929265976,0.022546753,0.2
483,88064,182,43,-5.137920379638672e-05,1.2273321151733398,0.245458984375,0.0003,420,1861.8291442871093,-0.022046113066608086,1247.1484375,-16.20114848613739,0.025674246,0.2
483,90112,186,44,-2.0503997802734375e-05,1.230730652809143,0.214599609375,0.0003,430,1559.543496131897,-0.025802781351376324,421.54046630859375,-16.230107617378234,0.017957028,0.2
483,92160,190,45,-0.03485071659088135,1.2323734760284424,0.179296875,0.0003,440,1773.839864730835,-0.025402582570677623,934.1078491210938,-16.252464771270752,0.01641082,0.2
484,94208,194,46,-4.601478576660156e-05,1.232962727546692,0.192919921875,0.0003,450,1633.2460569381715,-0.029595071636140346,742.822509765625,-16.258155953884124,0.015996384,0.2
484,96256,198,47,-0.11972880363464355,1.2389720678329468,0.209423828125,0.0003,460,1627.6067485809326,-0.02752664109284524,234.47779846191406,-16.284859716892242,0.02109573,0.2
484,98304,202,48,-0.005693674087524414,1.2449873685836792,0.274755859375,0.0003,470,1648.689251422882,-0.02760692854062654,851.507080078125,-16.330790466070177,0.025341053,0.2
484,100352,207,49,-0.0022221803665161133,1.2496442794799805,0.34033203125,0.0003,480,1762.4195466041565,-0.02034512244426878,522.38330078125,-16.382639759778975,0.02802516,0.2
484,102400,211,50,-0.0052509307861328125,1.2545703649520874,0.1759765625,0.0003,490,1991.023177909851,-0.024232045230746735,438.0721130371094,-16.416137784719467,0.017586377,0.2
485,104448,215,51,-0.00836324691772461,1.2591838836669922,0.28505859375,0.0003,500,1835.3057405471802,-0.025992951515945606,520.7299194335938,-16.454932624101637,0.04255425,0.2
485,106496,219,52,-3.409385681152344e-05,1.2704172134399414,0.289013671875,0.0003,510,1809.9359502792358,-0.01916398602479603,563.6590576171875,-16.533164280653,0.036192104,0.2
485,108544,223,53,0.0002962350845336914,1.2721997499465942,0.076513671875,0.0003,520,2052.6006393432617,-0.020362877831212246,764.2311401367188,-16.5628633916378,0.009989802,0.2
485,110592,227,54,-0.022509217262268066,1.2757328748703003,0.157958984375,0.0003,530,2079.7493154525755,-0.025272113448590972,1480.0733642578125,-16.587358516454696,0.014588305,0.2
485,112640,231,55,-0.011694788932800293,1.2821674346923828,0.235546875,0.0003,540,1744.0671988964082,-0.02691019815974869,980.7354736328125,-16.627686166763304,0.018913489,0.2
485,114688,236,56,-0.0012860298156738281,1.2868854999542236,0.18515625,0.0003,550,1900.1605644226074,-0.014847998111508786,1659.47412109375,-16.660765367746354,0.021946022,0.2
485,116736,240,57,-0.0031625032424926758,1.289018988609314,0.13115234375,0.0003,560,1851.6541734695434,-0.02113397418288514,1645.359130859375,-16.696105116605757,0.011973629,0.2
485,118784,244,58,-0.0006159543991088867,1.2892740964889526,0.03505859375,0.0003,570,1726.7650542259216,-0.012230458931298926,863.2241821289062,-16.701244175434113,0.0072009917,0.2
485,120832,249,59,-0.29456841945648193,1.293221354484558,0.11787109375,0.0003,580,1849.2220484733582,-0.02093631441821344,422.9007873535156,-16.71752655506134,0.013265362,0.2
485,122880,253,60,-0.29567885398864746,1.2941755056381226,0.023388671875,0.0003,590,1729.2405150413513,-0.013129707848565885,1910.97265625,-16.73568350672722,0.005410662,0.2
484,124928,257,61,0.0023074746131896973,1.2945736646652222,0.0501953125,0.0003,600,1556.8621179103852,-0.013882984570227564,1299.3099365234375,-16.74083126783371,0.005943543,0.2
484,126976,261,62,-0.1747279167175293,1.2942081689834595,0.1806640625,0.0003,610,1827.54034576416,-0.021514958003535867,514.8817749023438,-16.740605181455614,0.015614042,0.2
484,129024,266,63,-0.009266853332519531,1.3016570806503296,0.21005859375,0.0003,620,1910.7509241104126,-0.02510683436121326,2090.279541015625,-16.782222455739976,0.018010123,0.2
484,131072,270,64,-0.008486390113830566,1.3043609857559204,0.0576171875,0.0003,630,1967.8056812763214,-0.016277534438995645,305.1731872558594,-16.809759670495986,0.0070069013,0.2
484,133120,274,65,0.05832022428512573,1.306131362915039,0.04501953125,0.0003,640,1821.6314865112304,-0.011593684362014755,1000.6941528320312,-16.827946758270265,0.0087972,0.2
484,135168,279,66,-0.03941190242767334,1.306734323501587,0.003955078125,0.0003,650,1874.5777751922608,-0.006819791832822375,271.13873291015625,-16.83525578379631,0.0015077526,0.2
484,137216,283,67,0.005157470703125,1.3094139099121094,0.057080078125,0.0003,660,1879.7737460136414,-0.01132269972586073,256.28717041015625,-16.849749195575715,0.006997587,0.2
484,139264,287,68,-0.056203484535217285,1.315858244895935,0.201904296875,0.0003,670,2038.0944034576416,-0.021735533306491563,1650.292236328125,-16.889525347948073,0.02100282,0.2
483,141312,292,69,0.021333932876586914,1.3170044422149658,0.0353515625,0.0003,680,1608.29736328125,-0.013023928451002576,334.567138671875,-16.913733512163162,0.00425225,0.2
483,143360,296,70,0.1586235761642456,1.318668007850647,0.04453125,0.0003,690,1537.5168394088746,-0.014917619246989488,340.8059997558594,-16.920770865678787,0.008015675,0.2
482,145408,301,71,-0.3220900297164917,1.3195842504501343,0.021142578125,0.0003,700,2002.277696990967,-0.01206915191723965,1641.6693115234375,-16.932719892263414,0.0046631955,0.2
482,147456,305,72,0.0021991729736328125,1.3252251148223877,0.13896484375,0.0003,710,1838.4398251533507,-0.01281677624792792,706.8120727539062,-16.949176502227782,0.02614054,0.2
482,149504,309,73,-0.05485236644744873,1.3279199600219727,0.115625,0.0003,720,1867.9878631591796,-0.019252965645864605,1088.9326171875,-16.991695749759675,0.011440888,0.2
482,151552,314,74,-0.0121840238571167,1.3323783874511719,0.28212890625,0.0003,730,2427.7129400253298,-0.026904874297906646,1566.056396484375,-17.019190227985384,0.024994615,0.2
482,153600,318,75,-0.011291265487670898,1.3325235843658447,0.179052734375,0.0003,740,1977.7124653339386,-0.02012806962011382,447.11962890625,-17.02179209589958,0.017401876,0.2
482,155648,322,76,-0.0020581483840942383,1.3341188430786133,0.066015625,0.0003,750,1941.4976145744324,-0.012335632930626162,408.03515625,-17.03691098690033,0.0067569455,0.2
482,157696,326,77,-0.004261493682861328,1.3408769369125366,0.126025390625,0.0003,760,1914.7171218395233,-0.01830019449116662,1118.26611328125,-17.06292718052864,0.013792491,0.2
482,159744,331,78,-0.050095200538635254,1.3489906787872314,0.123681640625,0.0003,770,2185.3813530921934,-0.017947687944979408,768.2009887695312,-17.115970462560654,0.017495109,0.2
482,161792,335,79,-0.0008821487426757812,1.3526215553283691,0.209326171875,0.0003,780,1959.4543644428254,-0.02025217125483323,1891.4808349609375,-17.170313560962676,0.01839181,0.2
482,163840,339,80,-0.0017448663711547852,1.3603613376617432,0.107421875,0.0003,790,2063.3755569934847,-0.0185731595964171,913.1421508789062,-17.21204880475998,0.01110952,0.2
482,165888,343,81,-0.010894536972045898,1.379047155380249,0.3013671875,0.0003,800,1852.2729464054107,-0.020795304130297156,741.32080078125,-17.352125841379166,0.024838941,0.2
482,167936,348,82,-0.0392146110534668,1.3823574781417847,0.09658203125,0.0003,810,1988.1358100414277,-0.01945580586034339,2397.2392578125,-17.386883372068404,0.009695591,0.2
482,169984,352,83,-0.1759413480758667,1.3887218236923218,0.042529296875,0.0003,820,2213.78869433403,-0.014241122288512997,1329.8740234375,-17.417507928609847,0.00814435,0.2
482,172032,356,84,-0.01908111572265625,1.3946102857589722,0.05234375,0.0003,830,1832.0096054553985,-0.015704768337309362,2516.912353515625,-17.464665514230727,0.0074839066,0.2
482,174080,360,85,-0.05995655059814453,1.39586341381073,0.0107421875,0.0003,840,2254.860771226883,-0.008832368554431013,1750.230224609375,-17.489445662498476,0.0025083655,0.2
482,176128,365,86,0.008800685405731201,1.3970400094985962,0.006982421875,0.0003,850,1946.4335124969482,-0.008199856744613498,1226.4034423828125,-17.497944098711013,0.0017419929,0.2
482,178176,369,87,-0.2941627502441406,1.396521806716919,0.0080078125,0.0003,860,2229.2350231170653,-0.007227386005979497,1996.71142578125,-17.500151163339616,0.0021189011,0.2
482,180224,373,88,-0.06342065334320068,1.396170973777771,0.05400390625,0.0003,870,1963.5783169746398,-0.018402860569767653,127.39032745361328,-17.49593359231949,0.0075421366,0.2
482,182272,377,89,-0.07496094703674316,1.3953742980957031,0.124560546875,0.0003,880,1861.3453844070434,-0.018021728395251558,2181.15234375,-17.48781975507736,0.0134555185,0.2
482,184320,381,90,-0.19573533535003662,1.3968485593795776,0.01748046875,0.0003,890,1750.3365485668182,-0.011924304498825223,1733.56982421875,-17.495048862695693,0.0038264883,0.2
482,186368,386,91,-0.303188681602478,1.395995020866394,0.05458984375,0.0003,900,1884.78834900856,-0.014706275475327856,102.1334457397461,-17.49206167459488,0.008716475,0.2
482,188416,390,92,-0.07991993427276611,1.4044901132583618,0.086328125,0.0003,910,2140.4240724086762,-0.020037659208173863,312.9085998535156,-17.521105915308,0.011220154,0.2
482,190464,394,93,-0.07473015785217285,1.4155744314193726,0.117431640625,0.0003,920,1888.0268850326538,-0.018241083293105476,249.06362915039062,-17.605890250205995,0.01137206,0.2
482,192512,399,94,-0.02411937713623047,1.4238545894622803,0.1873046875,0.0003,930,1962.993530035019,-0.021754167764447628,854.9774780273438,-17.66641097664833,0.017214512,0.2
