timestamp,step,episode,base_pos_x,base_pos_y,base_pos_z,base_vel_x,base_vel_y,base_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,ee1_pos_x,ee1_pos_y,ee1_pos_z,ee2_pos_x,ee2_pos_y,ee2_pos_z,ee3_pos_x,ee3_pos_y,ee3_pos_z,ee4_pos_x,ee4_pos_y,ee4_pos_z,target_x,target_y,target_z,distance_to_target,ee_target_distances,tendon_force_index,tendon_force_middle,tendon_force_ring,tendon_force_thumb,control_linear_x,control_linear_y,control_linear_z,control_angular_x,control_angular_y,control_angular_z,tactile_deformation_spans,tactile_contact_detected,reward,distance_reward,tendon_efficiency_reward,success
1759211553.6674654,1,"{'r': 0.06261312505457947, 'l': 1, 't': 1759211553.665537}",0.0009779910351601867,0.0002450659303217068,0.017950042935748343,0.23472986067478116,0.05884560392770108,0.06225567368040589,-0.12888547300509265,0.11670433810091084,-0.6184979847440241,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4412433288033597,0,0.77956086,0.5706328,1.0,0.029519796,0.787273,0.19614871,0.33449015,-0.34334645,0.2361282,-0.7949483,0.0,0,0.06261312505457947,0.02930647989962647,0.14050716161727905,False
1759211553.6700733,2,1,0.0008718267120427976,-4.2275781943972054e-05,0.017874534669900265,0.20925042312660777,-0.01011640701606184,0.04413368987686714,2.5093705895166876e-05,-8.004652637361165e-05,0.3550383086255542,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.441457649122036,0,0.73939687,0.44906968,0.9897023,0.78975475,1.0,-0.03406054,-0.32291436,0.0009250499,1.0,0.6373863,0.0,0,0.04183905170509719,0.029256275158618898,0.12580190896987917,False
1759211553.672403,3,"{'r': 0.04183905170509719, 'l': 1, 't': 1759211553.6685436}",0.00015649260229829193,-0.0012498270679756809,0.018770034777345283,0.03757023678792643,-0.29992871566367196,0.25905371566367197,-0.7666724045108058,-0.5285898886933614,-0.2105150713246061,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.44160115289509716,0,0.055634588,0.75933325,0.76653737,0.8738116,0.12526388,-1.0,1.0,-0.95823425,-0.6617253,-0.261961,0.0,0,0.0384637232548725,0.029222707343770207,0.1386170744895935,False
1759211553.6746902,4,2,0.0010130236059018407,-0.0011989396690264055,0.017874908519698727,0.2431376776527781,-0.2877157399158458,0.044223413828498495,-0.0005037684882186061,0.0005511234568031931,-0.6134785654716124,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4417722378802357,0,0.28153768,0.48256522,0.92034394,0.44736224,0.8760117,-1.0,0.12930968,0.13155259,1.0,-1.0,0.0,0,0.05198924432781954,0.029182738170898136,0.14670477509498597,False
1759211553.6769626,5,"{'r': 0.0384637232548725, 'l': 1, 't': 1759211553.6708949}",-0.0009622671922001093,0.00023475329808352377,0.017874552738307164,-0.23093211389168988,0.05637057219053716,0.044138026294523326,-3.603432529347694e-05,-0.00016148996086207124,-0.2217023600586996,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4424014030184744,0,0.33832088,0.9720867,1.0,0.42623287,-0.90800136,0.20476428,0.0050456426,0.4995842,-0.59655327,-0.41202742,0.0,0,0.05513571939387958,0.029036221121937468,0.13158398866653442,False
1759211553.67923,6,3,-0.00046460796901523634,0.0004145342587778819,0.018360870878781906,-0.11149390032732036,0.09951800275718312,0.16085438000846114,-0.08449074110711206,-0.488875701012791,-0.13559795866007007,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.44169315522245844,0,0.13865915,0.71336955,0.0364002,0.4276803,-0.37172383,0.33179584,0.6725715,-0.10539006,-0.61130387,-0.16941135,0.0,0,0.10649817311475732,0.029201206800441526,0.167097270488739,False
1759211553.6835954,7,"{'r': 0.05198924432781954, 'l': 1, 't': 1759211553.6731849}",0.0005774219780523717,-0.0008314455862277385,0.017874561110350344,0.13859328696890555,-0.1995171600441658,0.04414003558488627,0.00017806733882252956,-7.048958519889625e-05,0.5081819294578832,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4418925826062122,0,0.29120415,0.4774846,0.9357935,0.2978292,1.0,-1.0,-0.9930872,-1.0,0.27767107,1.0,0.0,0,0.038257101623144885,0.02915465578230933,0.14994221329689025,False
1759211553.6859524,8,4,-0.0005782285178343965,-0.0008158139266582192,0.017874607289758558,-0.13876283204391882,-0.19576556174748116,0.04415111864285792,-0.00014640987317604548,0.00011514433306973604,0.24780979951924598,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.44254054596209436,0,0.0,0.8805877,1.0,0.6157066,-1.0,-1.0,-1.0,-0.78658706,0.15435985,0.764443,0.0,0,0.021582436012916623,0.029003917622261132,0.1375926434993744,False
1759211553.688195,9,"{'r': 0.05513571939387958, 'l': 1, 't': 1759211553.6754513}",0.0008543828705393799,0.001029434610340553,0.017874498599300563,0.20506390116578754,0.2470940871322242,0.044125032932939096,-0.00041443486838632637,-0.00010367699118574158,0.23402008455490134,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.44110442818906337,0,0.9072485,0.20476544,0.60465443,0.5304668,1.0,1.0,-0.44145456,-1.0,0.74000263,0.471525,0.0,0,0.04599710378940232,0.029339063504291867,0.1438216209411621,False
1759211553.6904702,10,5,-0.0010510599310010918,0.00048150812348467383,0.017874542356794747,-0.2522423712039257,0.11559173028681317,0.044135534731542705,-3.1273582718732706e-05,-0.00020036861122635363,0.19650703705007525,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4423683235949599,0,1.0,0.45466477,0.29154062,0.0,-1.0,0.41671592,-0.0408614,-0.2254844,-0.49670672,0.2752805,0.0,0,0.0806731204372081,0.02904390615040389,0.15634486675262452,False
