time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/clip_fraction,train/loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/std,train/clip_range,train/value_loss,train/n_updates
2048,447,1,4,,,,,,,,,,,
4096,409,2,10,0.132421875,52688.10546875,-14.187268707156182,0.0003,0.010448005,-0.021748573187505827,-0.0005408525466918945,0.9994821548461914,0.2,102542.73305664063,10
6144,398,3,15,0.067626953125,59493.6484375,-14.18876238167286,0.0003,0.007769548,-0.01581351598142646,-0.0007299184799194336,1.0003252029418945,0.2,114294.72124023437,20
8192,384,4,21,0.02978515625,39228.05078125,-14.201147502660751,0.0003,0.006132055,-0.010284374702314381,0.006027281284332275,1.0023058652877808,0.2,83630.26062011719,30
10240,378,5,27,0.069384765625,39623.87890625,-14.217676398158073,0.0003,0.00850597,-0.016398907550319565,0.007767200469970703,1.0030298233032227,0.2,82556.36394042968,40
12288,371,6,33,0.067724609375,46946.1953125,-14.252632835507393,0.0003,0.0076650456,-0.019668385945260526,0.0003012418746948242,1.0085293054580688,0.2,89299.02841796874,50
14336,365,7,39,0.13076171875,55879.5234375,-14.303565400838853,0.0003,0.01147663,-0.02429158554878086,0.0011100172996520996,1.0133706331253052,0.2,106865.14731445312,60
16384,361,8,45,0.090380859375,47975.01171875,-14.323150539398194,0.0003,0.009089268,-0.020047684373275844,0.0025193095207214355,1.0129592418670654,0.2,117424.34177246093,70
