time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/approx_kl,train/std,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/value_loss
2048,556,3,1,,,,,,,,,,,
4096,518,7,2,51202.15625,-0.0002892017364501953,0.2,0.0003,0.009674506,1.0015242099761963,-14.202933186292649,-0.022368946006463376,0.1099609375,10,92840.1310546875
6144,503,12,3,45119.83203125,-0.0022156238555908203,0.2,0.0003,0.0076429136,1.000244379043579,-14.198169809579849,-0.017135406231682283,0.07509765625,20,85543.59063720703
8192,484,16,4,33556.19921875,0.007980048656463623,0.2,0.0003,0.007751174,0.9987661242485046,-14.183908149600029,-0.014189102518139407,0.059619140625,30,70264.10229492188
