time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/std,train/n_updates,train/value_loss,train/clip_range
49152,24,145,337,-14.635291689634323,0.0003,37839.4453125,-4.887580871582031e-06,0.1150390625,-0.02809908742783591,0.010670628,1.0470155477523804,230,74967.10767822266,0.2
51200,25,154,330,-14.654248169064521,0.0003,27186.232421875,-3.933906555175781e-06,0.127783203125,-0.029884933607536367,0.01258917,1.0483381748199463,240,55227.69404296875,0.2
53248,26,164,323,-14.660097602009774,0.0003,35157.3125,8.285045623779297e-06,0.134619140625,-0.03166335730347782,0.012523955,1.0483357906341553,250,58752.574975585936,0.2
55296,27,174,317,-14.671484464406968,0.0003,43661.015625,1.7285346984863281e-06,0.121435546875,-0.028517978027230127,0.012195798,1.050622582435608,260,80622.87287597657,0.2
57344,28,184,311,-14.698608392477036,0.0003,33348.734375,8.285045623779297e-06,0.139599609375,-0.032107266821549275,0.013378259,1.0540211200714111,270,68003.6614868164,0.2
59392,29,194,305,-14.726767161488533,0.0003,40042.84375,-2.6226043701171875e-06,0.133984375,-0.030753814375202637,0.012701423,1.0566747188568115,280,69879.17806396485,0.2
61440,30,205,299,-14.73379826247692,0.0003,33704.25,-0.00883340835571289,0.109814453125,-0.023096723705748445,0.010157405,1.0564090013504028,290,74768.77546386719,0.2
63488,31,216,293,-14.744612482190131,0.0003,27480.921875,2.3245811462402344e-06,0.13388671875,-0.0295979632603121,0.013345122,1.0585272312164307,300,58228.530981445314,0.2
65536,32,227,287,-14.787378343939782,0.0003,35591.9296875,1.3709068298339844e-06,0.1193359375,-0.02721595875918865,0.01201365,1.064043402671814,310,62058.813720703125,0.2
67584,33,240,280,-14.82269582748413,0.0003,28127.189453125,1.3709068298339844e-06,0.134521484375,-0.03087241855537286,0.012673492,1.067135214805603,320,59158.06600341797,0.2
69632,34,253,274,-14.862803974747658,0.0003,44554.30859375,-1.3589859008789062e-05,0.142822265625,-0.02954964125310653,0.014050287,1.0725575685501099,330,74167.30747070312,0.2
71680,35,267,268,-14.894906237721443,0.0003,31828.025390625,-5.960464477539062e-07,0.12197265625,-0.028560769415344113,0.011599563,1.0740206241607666,340,62237.51259765625,0.2
73728,36,281,262,-14.928365290164948,0.0003,28929.015625,-2.86102294921875e-06,0.136865234375,-0.03130294664006215,0.013331324,1.0787324905395508,350,55413.574926757814,0.2
75776,37,295,256,-14.961858239769935,0.0003,29338.1640625,0.0,0.140576171875,-0.028207304535317234,0.0139993075,1.0816673040390015,360,66932.03663330078,0.2
