time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/loss,train/std,train/approx_kl,train/value_loss,train/explained_variance
91,15,335,30720,140,-0.023433052204200066,0.09580078125,0.0003,-14.337778469920158,0.2,47262.22265625,1.0155340433120728,0.008978104,98035.80295410156,3.886222839355469e-05
98,16,331,32768,150,-0.02791818987461738,0.14052734375,0.0003,-14.34876752793789,0.2,45833.09765625,1.0173805952072144,0.011396996,93530.86755371094,-0.0007364749908447266
106,17,326,34816,160,-0.02845725851948373,0.136767578125,0.0003,-14.349261999130249,0.2,36445.9375,1.0159296989440918,0.012298038,74276.3396484375,-5.4836273193359375e-06
114,18,322,36864,170,-0.025057028266019188,0.09306640625,0.0003,-14.373793825507164,0.2,49558.890625,1.0206056833267212,0.009455831,93109.17177734376,3.0934810638427734e-05
122,19,318,38912,180,-0.023247105558402835,0.099658203125,0.0003,-14.404699376225471,0.2,40319.203125,1.0231415033340454,0.0089466665,79854.87434082032,1.895427703857422e-05
130,20,314,40960,190,-0.027438341375091112,0.116162109375,0.0003,-14.415508306026458,0.2,35691.05859375,1.022650122642517,0.011300095,65193.17731933594,-0.0019931793212890625
138,21,310,43008,200,-0.028013301803730427,0.112548828125,0.0003,-14.446125191450118,0.2,38318.15234375,1.0289486646652222,0.011625524,81029.39458007812,-4.076957702636719e-05
147,22,306,45056,210,-0.021649354326655157,0.089013671875,0.0003,-14.47333237528801,0.2,39660.42578125,1.028706431388855,0.009436153,85205.36715087891,-0.00020682811737060547
155,23,302,47104,220,-0.028854153348947875,0.125341796875,0.0003,-14.453145602345467,0.2,35094.70703125,1.025964617729187,0.012517597,77430.32399902344,5.626678466796875e-05
164,24,298,49152,230,-0.02582239858165849,0.1123046875,0.0003,-14.460750418901444,0.2,31794.76953125,1.0296162366867065,0.010557128,75456.84954833984,7.748603820800781e-06
173,25,294,51200,240,-0.025246663475991228,0.09853515625,0.0003,-14.48002249598503,0.2,50686.50390625,1.0307457447052002,0.010299604,98621.02536621093,1.0728836059570312e-06
182,26,291,53248,250,-0.028414550219895317,0.118603515625,0.0003,-14.501341849565506,0.2,44092.7109375,1.0335558652877808,0.010991819,94344.05981445312,-0.0004930496215820312
192,27,287,55296,260,-0.028956510499119757,0.12080078125,0.0003,-14.537577030062675,0.2,33090.5,1.0380624532699585,0.012313087,66536.71696777343,-0.0008841753005981445
201,28,283,57344,270,-0.029591944518324455,0.132421875,0.0003,-14.569010218977928,0.2,48543.23046875,1.0408575534820557,0.012094406,97541.9765625,8.344650268554688e-07
212,29,280,59392,280,-0.02492121401883196,0.10634765625,0.0003,-14.620802277326584,0.2,39009.48828125,1.0474332571029663,0.01078974,80450.28210449219,-1.1920928955078125e-07
222,30,276,61440,290,-0.02993279077927582,0.136962890625,0.0003,-14.653308191895485,0.2,38248.37109375,1.0489600896835327,0.012153939,76373.70498046876,-1.1920928955078125e-07
232,31,272,63488,300,-0.029292947344947605,0.117041015625,0.0003,-14.633635601401329,0.2,34111.62109375,1.0447685718536377,0.011451859,76296.430078125,5.960464477539062e-07
243,32,269,65536,310,-0.02945892327115871,0.126806640625,0.0003,-14.610855409502983,0.2,35295.1171875,1.043954849243164,0.01174248,73761.32352294921,1.6689300537109375e-06
254,33,265,67584,320,-0.028925406947382725,0.13310546875,0.0003,-14.616092130541801,0.2,33043.03515625,1.045371413230896,0.012231983,86431.38052978515,1.3113021850585938e-06
265,34,261,69632,330,-0.03351726797263836,0.15478515625,0.0003,-14.626278212666511,0.2,31056.6875,1.0467545986175537,0.013155818,67467.0746459961,1.3113021850585938e-06
277,35,258,71680,340,-0.03467458251689095,0.166064453125,0.0003,-14.640776804089546,0.2,39303.0703125,1.0488674640655518,0.013806699,80626.43826904296,-0.006479382514953613
289,36,254,73728,350,-0.03094757500803098,0.135009765625,0.0003,-14.659087643027306,0.2,34494.97265625,1.0494165420532227,0.012984505,70505.29334716797,1.1920928955078125e-06
301,37,251,75776,360,-0.0304841639182996,0.150830078125,0.0003,-14.6713737398386,0.2,24695.216796875,1.0520459413528442,0.013474347,62792.639587402344,-7.3909759521484375e-06
313,38,247,77824,370,-0.030738380237016825,0.133447265625,0.0003,-14.683628341555595,0.2,34193.96875,1.0530680418014526,0.013289459,61410.017541503905,1.8477439880371094e-06
326,39,244,79872,380,-0.028993489517597483,0.1443359375,0.0003,-14.686800023913383,0.2,34974.50390625,1.0526965856552124,0.013919296,63106.466479492185,5.960464477539063e-08
339,40,241,81920,390,-0.027210554786142892,0.126318359375,0.0003,-14.704788291454316,0.2,33473.70703125,1.0558481216430664,0.01248128,72448.519140625,-0.0023375749588012695
352,41,238,83968,400,-0.024885778850875794,0.1103515625,0.0003,-14.720896574854851,0.2,42156.12890625,1.0573118925094604,0.010154126,85784.00686035157,-3.337860107421875e-06
365,42,235,86016,410,-0.0332781212287955,0.15810546875,0.0003,-14.750428059697152,0.2,31566.029296875,1.0611772537231445,0.013954909,59182.22440185547,2.294778823852539e-05
379,43,232,88064,420,-0.0287777608667966,0.116552734375,0.0003,-14.774961531162262,0.2,36917.55859375,1.0629123449325562,0.011249505,69856.4645751953,0.001527547836303711
394,44,228,90112,430,-0.027386940136784686,0.136767578125,0.0003,-14.822601762413978,0.2,48349.87890625,1.0707138776779175,0.0124771055,95216.77934570312,-0.008408308029174805
