time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/value_loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/std,train/n_updates
111,51200,461,25,0.00029587855935915287,0.0003,0.2,-0.0417944271088345,-14.785569253563882,0.021942917,0.22509765625,-3.612588405609131,-0.2035408914089203,1.0650930404663086,240
115,53248,461,26,0.00021871748421062876,0.0003,0.2,-0.04107554501970299,-14.834044289588928,0.021820378,0.22001953125,-4.353349685668945,-0.21156536042690277,1.0698025226593018,250
119,55296,461,27,0.00015701564539085666,0.0003,0.2,-0.04076677827106323,-14.862178358435632,0.021941688,0.2328125,-6.364084720611572,-0.2023640275001526,1.0711077451705933,260
124,57344,460,28,0.0001636344087728503,0.0003,0.2,-0.0397880361211719,-14.881411904096604,0.021696258,0.227099609375,-6.27422571182251,-0.18702897429466248,1.073388934135437,270
128,59392,461,29,0.0001227940684088935,0.0003,0.2,-0.03839621394290589,-14.925854673981666,0.025140166,0.233447265625,-5.820655345916748,-0.1992620974779129,1.079760193824768,280
133,61440,461,30,9.701689287453519e-05,0.0003,0.2,-0.039484525655279865,-14.956978157162666,0.021042246,0.229443359375,-3.1811599731445312,-0.18918751180171967,1.0817965269088745,290
137,63488,461,31,7.35610402614384e-05,0.0003,0.2,-0.03636457236425485,-14.962983483076096,0.02015661,0.228173828125,-5.173940658569336,-0.2005760818719864,1.0817826986312866,300
142,65536,460,32,0.00011304280623676277,0.0003,0.2,-0.04135546351171797,-14.99479454755783,0.024062548,0.243505859375,-5.615732192993164,-0.1839483380317688,1.0874912738800049,310
146,67584,460,33,0.00010766768637040513,0.0003,0.2,-0.04162084444833454,-15.038843348622322,0.021282408,0.241455078125,-9.908923149108887,-0.2171623855829239,1.0914400815963745,320
151,69632,459,34,6.559671379875453e-05,0.0003,0.2,-0.04452276323281694,-15.078486487269402,0.024368215,0.250537109375,-9.37435531616211,-0.18889960646629333,1.096057653427124,330
156,71680,458,35,5.690329537628713e-05,0.0003,0.2,-0.044703131198184566,-15.109813466668129,0.022957446,0.2458984375,-9.169842720031738,-0.20850525796413422,1.0995302200317383,340
160,73728,458,36,7.97167276118671e-05,0.0003,0.2,-0.045114315865794195,-15.148858845233917,0.025121395,0.244091796875,-18.46434211730957,-0.19422368705272675,1.1027348041534424,350
165,75776,458,37,6.420683166084019e-05,0.0003,0.2,-0.046066160869668235,-15.164494222402572,0.025950171,0.269287109375,-7.302882194519043,-0.21860401332378387,1.1045258045196533,360
170,77824,457,38,5.905035468458664e-05,0.0003,0.2,-0.04424921245226869,-15.226513016223908,0.026908346,0.25146484375,-8.919018745422363,-0.2297593653202057,1.1149564981460571,370
174,79872,456,39,7.339298413739925e-05,0.0003,0.2,-0.040144707320723685,-15.262065303325652,0.022222571,0.23623046875,-3.5728697776794434,-0.22631926834583282,1.1136906147003174,380
179,81920,456,40,3.1982690043719233e-05,0.0003,0.2,-0.047994328965432945,-15.245280379056931,0.025823593,0.258447265625,-16.75156593322754,-0.22115746140480042,1.1131987571716309,390
183,83968,456,41,3.6955920910486385e-05,0.0003,0.2,-0.04073114673083182,-15.267950895428658,0.021830099,0.219677734375,-6.393223762512207,-0.1900978684425354,1.1176074743270874,400
188,86016,456,42,3.6135737718723246e-05,0.0003,0.2,-0.044827241415623574,-15.298563408851624,0.024295505,0.240576171875,-10.021810531616211,-0.20956279337406158,1.119725227355957,410
193,88064,456,43,2.2936008012663933e-05,0.0003,0.2,-0.04408756724733394,-15.331200355291367,0.024024153,0.246435546875,-7.923408508300781,-0.15927526354789734,1.1249192953109741,420
197,90112,455,44,1.894911955986345e-05,0.0003,0.2,-0.04346602271980373,-15.352934184670449,0.026612964,0.251171875,-8.143586158752441,-0.2076762318611145,1.1253060102462769,430
202,92160,456,45,2.0124074340799324e-05,0.0003,0.2,-0.041920366074191404,-15.388406392931937,0.025917064,0.2482421875,-5.898962497711182,-0.21873314678668976,1.1325714588165283,440
206,94208,456,46,1.752981078624316e-05,0.0003,0.2,-0.045998009634786285,-15.42466230392456,0.025634669,0.266845703125,-7.292808532714844,-0.20530587434768677,1.135155439376831,450
211,96256,456,47,1.1814368671991816e-05,0.0003,0.2,-0.043174747817101886,-15.468892031908036,0.024545597,0.23388671875,-5.581838130950928,-0.20813767611980438,1.1407498121261597,460
215,98304,456,48,1.110432330406752e-05,0.0003,0.2,-0.04239300748740789,-15.51522629261017,0.026737288,0.2755859375,-9.181855201721191,-0.21529614925384521,1.1459996700286865,470
220,100352,456,49,7.545271733278014e-06,0.0003,0.2,-0.04283775595831685,-15.51900455057621,0.025502682,0.247900390625,-6.869633674621582,-0.20487383008003235,1.142774224281311,480
224,102400,456,50,1.0369335048920903e-05,0.0003,0.2,-0.046509891355526634,-15.52234427332878,0.02869997,0.2576171875,-9.005849838256836,-0.19652101397514343,1.145792007446289,490
228,104448,456,51,5.962344347665294e-06,0.0003,0.2,-0.04074944812164176,-15.525662091374397,0.023486683,0.21953125,-5.82482385635376,-0.1994466781616211,1.1453412771224976,500
233,106496,456,52,7.6022324826396925e-06,0.0003,0.2,-0.04691512681310996,-15.527777925133705,0.028623695,0.265576171875,-17.47127342224121,-0.1985994130373001,1.1455477476119995,510
237,108544,456,53,4.731545475067378e-06,0.0003,0.2,-0.046488230902468786,-15.54564371407032,0.024802275,0.25888671875,-9.103415489196777,-0.2381799817085266,1.1478722095489502,520
242,110592,456,54,1.8129543024159034e-06,0.0003,0.2,-0.042703043002984484,-15.546335849165917,0.025338843,0.247265625,-9.803985595703125,-0.23047521710395813,1.1472803354263306,530
246,112640,457,55,1.1539043446973097e-06,0.0003,0.2,-0.045478095911676064,-15.578036236763001,0.028048396,0.272509765625,-13.628264427185059,-0.20830577611923218,1.1542662382125854,540
250,114688,457,56,9.820987569852946e-07,0.0003,0.2,-0.038334685549489225,-15.589858776330948,0.024584359,0.25107421875,-3.4998817443847656,-0.2274215668439865,1.1516891717910767,550
255,116736,457,57,7.499221096551878e-07,0.0003,0.2,-0.051552064515999516,-15.591136434674263,0.033153724,0.2841796875,-8.288370132446289,-0.21356803178787231,1.1537469625473022,560
259,118784,457,58,3.012308847694101e-07,0.0003,0.2,-0.04891575801302679,-15.593807598948478,0.030993529,0.278271484375,-14.187896728515625,-0.22867153584957123,1.152747392654419,570
264,120832,457,59,1.20052924790226e-07,0.0003,0.2,-0.04386471539910417,-15.590410301089287,0.024724897,0.24453125,-8.987674713134766,-0.22584708034992218,1.1519674062728882,580
268,122880,457,60,2.8786347802678413e-08,0.0003,0.2,-0.03664684402465355,-15.574303779006005,0.023496272,0.255859375,-2.994582414627075,-0.18608583509922028,1.1484161615371704,590
272,124928,457,61,3.3282718875371484e-08,0.0003,0.2,-0.044970750095671974,-15.574701115489006,0.028296735,0.27294921875,-7.170915603637695,-0.20075802505016327,1.152611255645752,600
277,126976,457,62,1.357592082709691e-08,0.0003,0.2,-0.04125560873944778,-15.579662042856217,0.027518824,0.25546875,-2.0851809978485107,-0.20431813597679138,1.151465654373169,610
282,129024,457,63,6.931216672834139e-09,0.0003,0.2,-0.04110921442334074,-15.598859563469887,0.026397064,0.251318359375,-7.4286298751831055,-0.21006636321544647,1.155683994293213,620
286,131072,457,64,4.308413798295718e-09,0.0003,0.2,-0.048802899470319974,-15.617698493599892,0.03172107,0.29833984375,-7.065657615661621,-0.1874907910823822,1.1569321155548096,630
290,133120,457,65,9.968261909919924e-10,0.0003,0.2,-0.037469134124694395,-15.624858391284942,0.025226388,0.255419921875,-3.370392322540283,-0.2113400250673294,1.15789794921875,640
295,135168,457,66,6.401101798787779e-10,0.0003,0.2,-0.04119008257112,-15.664600232243538,0.026587937,0.266162109375,-3.3711342811584473,-0.21271198987960815,1.1657819747924805,650
300,137216,457,67,2.323159165691299e-10,0.0003,0.2,-0.03984216900425963,-15.675324499607086,0.028485496,0.26572265625,-2.0756564140319824,-0.18207934498786926,1.1626100540161133,660
