time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_range,train/std,train/policy_gradient_loss,train/clip_fraction,train/loss,train/learning_rate,train/n_updates
292,1,7,2048,,,,,,,,,,,
585,2,6,4096,-0.014017462730407715,-14.181218805909158,1903.0801712036132,0.010548803,0.2,0.9987176656723022,-0.019342789475922474,0.11083984375,904.8077392578125,0.0003,10
877,3,7,6144,0.2968739867210388,-14.196865236759185,1318.8703077316284,0.010566257,0.2,1.00214421749115,-0.019603324978379532,0.110498046875,542.3878784179688,0.0003,20
1164,4,7,8192,0.23944294452667236,-14.217936396598816,1009.5643951416016,0.010561418,0.2,1.0033479928970337,-0.018643352219078223,0.09462890625,361.93548583984375,0.0003,30
1444,5,7,10240,0.15314722061157227,-14.233407866954803,802.4772584915161,0.011101956,0.2,1.0053622722625732,-0.021326930218492635,0.1138671875,367.37677001953125,0.0003,40
1727,6,7,12288,0.2139384150505066,-14.24762082695961,635.5340470314026,0.012403624,0.2,1.0067524909973145,-0.023175903304945678,0.134765625,252.85311889648438,0.0003,50
2012,7,7,14336,0.33981549739837646,-14.246397122740746,510.33863229751586,0.013439731,0.2,1.005307674407959,-0.026581321451521943,0.14775390625,198.72508239746094,0.0003,60
2292,8,7,16384,0.40482401847839355,-14.221640226244926,443.16889252662656,0.013489378,0.2,1.0023959875106812,-0.028302586107747628,0.1427734375,191.82984924316406,0.0003,70
2573,9,7,18432,0.4724949598312378,-14.218854129314423,375.3293268203735,0.012249669,0.2,1.0036145448684692,-0.02241697062709136,0.11796875,182.52610778808594,0.0003,80
2849,10,7,20480,0.5532435476779938,-14.201613578200341,288.8789698600769,0.016994314,0.2,1.0009138584136963,-0.029215053001826162,0.18642578125,97.7386703491211,0.0003,90
3125,11,7,22528,0.5722491145133972,-14.184969416260719,299.7840680360794,0.013170286,0.2,0.9998272657394409,-0.02506090664974181,0.154150390625,135.4239959716797,0.0003,100
3401,12,7,24576,0.6011964380741119,-14.163594043254852,265.238578414917,0.014607006,0.2,0.9972666501998901,-0.026294838469766546,0.16279296875,98.25096130371094,0.0003,110
3676,13,7,26624,0.6494757831096649,-14.135252657532693,209.97083712816237,0.014737301,0.2,0.9939830899238586,-0.02552377406391315,0.1841796875,168.8782501220703,0.0003,120
3953,14,7,28672,0.6709338426589966,-14.090132823586464,199.5834265947342,0.013125449,0.2,0.9894302487373352,-0.026494220054883045,0.1625,86.3897705078125,0.0003,130
4297,15,7,30720,0.6874483227729797,-14.042774093151092,180.6559911608696,0.016490035,0.2,0.9843869209289551,-0.024057996926421764,0.15341796875,47.534324645996094,0.0003,140
4610,16,7,32768,0.703580230474472,-13.995204162597656,152.31216629743577,0.017003242,0.2,0.9814737439155579,-0.026576496423513164,0.205126953125,82.7873764038086,0.0003,150
4972,17,7,34816,0.7788269966840744,-13.930536115169526,75.54816541671752,0.019680053,0.2,0.9739653468132019,-0.013662918957561488,0.23974609375,33.94483184814453,0.0003,160
5330,18,6,36864,0.855604499578476,-13.87368559539318,53.80044785141945,0.015486948,0.2,0.9705895185470581,-0.018933012851630338,0.22080078125,23.731103897094727,0.0003,170
5696,19,6,38912,0.8306803107261658,-13.830786994099617,68.8339148581028,0.019775905,0.2,0.9648758769035339,-0.021680314454715698,0.21962890625,25.211406707763672,0.0003,180
6065,20,6,40960,0.8366694748401642,-13.775091496109962,66.18983998298646,0.020749006,0.2,0.961626410484314,-0.01705245483026374,0.244384765625,35.684051513671875,0.0003,190
6431,21,6,43008,0.8386080861091614,-13.741117349267006,65.10623163282871,0.0139465295,0.2,0.9575274586677551,-0.017710552646894938,0.204345703125,19.90760612487793,0.0003,200
6749,22,6,45056,0.8650932759046555,-13.668624573946,53.354628124833106,0.01702575,0.2,0.9491555094718933,-0.017195165176235604,0.219970703125,56.08570861816406,0.0003,210
7110,23,6,47104,0.8483916670084,-13.611567613482475,62.650427216291426,0.01915982,0.2,0.9451634287834167,-0.018744863587926375,0.24345703125,43.731319427490234,0.0003,220
7376,24,6,49152,0.8555795550346375,-13.556420814990997,57.81345473527908,0.020169925,0.2,0.9406835436820984,-0.024469541634607593,0.228271484375,30.939146041870117,0.0003,230
7642,25,6,51200,0.8463359773159027,-13.494463723897933,62.65986977815628,0.012044434,0.2,0.9336768388748169,-0.016496608813758938,0.199560546875,22.16733741760254,0.0003,240
7906,26,6,53248,0.8258674889802933,-13.443653777241707,73.83868314921855,0.019495776,0.2,0.9311081767082214,-0.018159346116590314,0.210205078125,31.78609848022461,0.0003,250
8173,27,6,55296,0.8522316068410873,-13.37217881977558,59.56362289786339,0.020035304,0.2,0.9225243330001831,-0.023411608103560865,0.28974609375,23.776521682739258,0.0003,260
