time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates
436,1,4,2048,,,,,,,,,,,
418,2,9,4096,-0.04017695736256428,0.05816498398780823,0.01595939,0.993311882019043,0.163232421875,0.0003,0.2,0.4737700545461848,-14.144313624501228,-1.604583501815796,10
413,3,14,6144,-0.0370358849526383,0.49460741877555847,0.015108645,0.99407559633255,0.1556640625,0.0003,0.2,1.1947251712437719,-14.118466958403587,-0.1104884147644043,20
408,4,20,8192,-0.04870993641088717,-0.060072049498558044,0.018463846,0.9975866675376892,0.181640625,0.0003,0.2,0.3175847587059252,-14.153020015358925,-0.5535049438476562,30
398,5,25,10240,-0.04806580890726764,-0.12589913606643677,0.017488487,0.9957703948020935,0.194091796875,0.0003,0.2,0.1812718690256588,-14.149525636434555,-0.6888073682785034,40
386,6,31,12288,-0.05065278145193588,-0.07923805713653564,0.018887289,0.9973745346069336,0.195068359375,0.0003,0.2,0.2479044620646164,-14.15182659626007,-0.19745826721191406,50
384,7,37,14336,-0.05212932011345402,-0.13189835846424103,0.018244036,0.9990550875663757,0.17646484375,0.0003,0.2,0.31263642469421027,-14.172474601864815,-0.07175338268280029,60
381,8,42,16384,-0.05743147691828199,-0.16308173537254333,0.02121064,1.0009559392929077,0.211279296875,0.0003,0.2,0.25573980135377494,-14.194132974743843,-0.7674840688705444,70
377,9,48,18432,-0.05397180106374435,-0.10946617275476456,0.01960411,1.0023424625396729,0.212939453125,0.0003,0.2,0.27862451544497163,-14.205211901664734,-0.10083746910095215,80
372,10,54,20480,-0.05015727170102764,-0.12973621487617493,0.018190812,1.0027035474777222,0.192138671875,0.0003,0.2,0.4032637055031955,-14.212454840540886,-0.019170522689819336,90
366,11,61,22528,-0.044185240421211344,0.14087159931659698,0.018329963,1.0061339139938354,0.19111328125,0.0003,0.2,0.43793895924463866,-14.23014381825924,-0.18237268924713135,100
358,12,68,24576,-0.05669351883698255,-0.1154528334736824,0.021610025,1.0111370086669922,0.223779296875,0.0003,0.2,0.3426849344978109,-14.27879731655121,0.19200068712234497,110
351,13,75,26624,-0.05476181804551743,-0.06713230907917023,0.01882448,1.0143404006958008,0.214501953125,0.0003,0.2,0.4395956516265869,-14.321273365616799,0.2647426128387451,120
345,14,82,28672,-0.048398475753492674,-0.08675915002822876,0.019949593,1.0137088298797607,0.19736328125,0.0003,0.2,0.6637078976957127,-14.327408972382546,-0.08208978176116943,130
340,15,90,30720,-0.051521333056734876,-0.14441704750061035,0.02281171,1.018760085105896,0.228125,0.0003,0.2,0.30730087488191205,-14.357216274738311,0.02610647678375244,140
334,16,98,32768,-0.05734413204772863,-0.19556385278701782,0.024450526,1.0240472555160522,0.233349609375,0.0003,0.2,0.29076182276476176,-14.4061568826437,0.07519692182540894,150
330,17,105,34816,-0.05985058951191604,-0.12745150923728943,0.025320627,1.0261614322662354,0.251904296875,0.0003,0.2,0.31036592794116585,-14.44138697385788,0.09140998125076294,160
324,18,113,36864,-0.06262513716064859,-0.051519811153411865,0.025039695,1.0306665897369385,0.24921875,0.0003,0.2,0.42009439314715563,-14.478110831975936,-0.024764180183410645,170
320,19,121,38912,-0.05760608324198983,-0.15876491367816925,0.027413078,1.0388416051864624,0.26943359375,0.0003,0.2,0.25770487075205895,-14.539849832654,0.2972114682197571,180
246,1,8,40960,-0.057165627117501575,-0.12658259272575378,0.025538124,1.0395190715789795,0.25234375,0.0003,0.2,0.3663996291346848,-14.575659358501435,-0.15569496154785156,190
241,2,16,43008,-0.05978414351120591,-0.14276546239852905,0.02697627,1.0405936241149902,0.2771484375,0.0003,0.2,0.24649031087756157,-14.583667689561844,0.23742693662643433,200
237,3,25,45056,-0.05739866025687661,0.15833087265491486,0.025553966,1.0390585660934448,0.25078125,0.0003,0.2,0.6112146776169538,-14.575963431596756,0.03180253505706787,210
232,4,35,47104,-0.0568417743925238,-0.20029665529727936,0.030347314,1.041684627532959,0.27587890625,0.0003,0.2,0.31002227261196824,-14.585411700606347,-0.21931421756744385,220
