time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/std,train/approx_kl,train/clip_range,train/value_loss,train/loss,train/explained_variance
4,1,2048,470,,,,,,,,,,,
9,2,4096,432,10,-14.212588986754417,0.129833984375,-0.023934065259527414,0.0003,1.0035194158554077,0.010075938,0.2,122921.74753417968,57749.83984375,-0.00018739700317382812
14,3,6144,424,20,-14.230549293756486,0.063525390625,-0.017808292809058913,0.0003,1.0047391653060913,0.0071839644,0.2,91812.87673339844,41097.2265625,-0.003882169723510742
19,4,8192,415,30,-14.242315635085106,0.047412109375,-0.013040053297299892,0.0003,1.005629539489746,0.007248201,0.2,117264.39306640625,54259.83203125,0.0003796815872192383
25,5,10240,406,40,-14.2448476344347,0.0568359375,-0.015262243110919371,0.0003,1.005560278892517,0.007722535,0.2,102142.87253417968,52845.99609375,0.005460798740386963
30,6,12288,397,50,-14.248552364110946,0.0623046875,-0.017429644128424116,0.0003,1.0058367252349854,0.0076227346,0.2,102828.88813476563,45009.67578125,0.0010426044464111328
36,7,14336,391,60,-14.257207784056664,0.106689453125,-0.027191222136025317,0.0003,1.0072453022003174,0.009836854,0.2,75043.98981933594,33676.9765625,0.0038545727729797363
42,8,16384,384,70,-14.273730954527855,0.084521484375,-0.021462337084813043,0.0003,1.0099104642868042,0.008798259,0.2,81620.43160400391,34021.84375,0.005910098552703857
49,9,18432,375,80,-14.297547855973244,0.093359375,-0.023343941872008146,0.0003,1.0119268894195557,0.009181788,0.2,96996.0431640625,44089.921875,-3.421306610107422e-05
55,10,20480,366,90,-14.280276820063591,0.0890625,-0.023206735402345656,0.0003,1.0070933103561401,0.0091819735,0.2,119381.44912109376,58308.68359375,0.00020015239715576172
63,11,22528,356,100,-14.247504052519798,0.108544921875,-0.026397975208237768,0.0003,1.0049638748168945,0.010851255,0.2,83568.68708496094,45902.8984375,-0.0010485649108886719
70,12,24576,348,110,-14.23666721880436,0.103076171875,-0.025309430787456223,0.0003,1.004583477973938,0.010273457,0.2,76688.93682861328,41754.19140625,0.00012171268463134766
78,13,26624,338,120,-14.259177443385123,0.1171875,-0.02605202887498308,0.0003,1.008730411529541,0.010831209,0.2,109451.15676269532,57157.3125,0.00018477439880371094
86,14,28672,330,130,-14.287077149748802,0.1234375,-0.027050575125031173,0.0003,1.0106884241104126,0.010963999,0.2,95834.55002441406,44038.0390625,0.00012320280075073242
94,15,30720,325,140,-14.295942267775535,0.12626953125,-0.02829427797551034,0.0003,1.0113344192504883,0.011492459,0.2,93174.67836914063,43963.88671875,-1.0967254638671875e-05
102,16,32768,320,150,-14.305401715636254,0.123046875,-0.026987587855546735,0.0003,1.0119545459747314,0.010547344,0.2,78137.67489013672,35643.67578125,-0.00017750263214111328
110,17,34816,314,160,-14.320597687363625,0.103125,-0.02615398597845342,0.0003,1.0145806074142456,0.010246014,0.2,86264.03479003906,41048.2578125,-9.036064147949219e-05
119,18,36864,309,170,-14.346812289953231,0.1140625,-0.02749342824681662,0.0003,1.0172834396362305,0.010577058,0.2,102053.59194335938,46785.0625,9.000301361083984e-06
127,19,38912,306,180,-14.385873925685882,0.104931640625,-0.02735486743040383,0.0003,1.0220617055892944,0.010342369,0.2,95723.24350585937,48197.1015625,1.245737075805664e-05
135,20,40960,302,190,-14.434843221306801,0.12783203125,-0.029517987780855036,0.0003,1.0270975828170776,0.012875885,0.2,67010.29318847656,30444.392578125,3.1054019927978516e-05
