timestamp,step,episode,base_pos_x,base_pos_y,base_pos_z,base_vel_x,base_vel_y,base_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,ee1_pos_x,ee1_pos_y,ee1_pos_z,ee2_pos_x,ee2_pos_y,ee2_pos_z,ee3_pos_x,ee3_pos_y,ee3_pos_z,ee4_pos_x,ee4_pos_y,ee4_pos_z,target_x,target_y,target_z,distance_to_target,ee_target_distances,tendon_force_index,tendon_force_middle,tendon_force_ring,tendon_force_thumb,control_linear_x,control_linear_y,control_linear_z,control_angular_x,control_angular_y,control_angular_z,tactile_deformation_spans,tactile_contact_detected,reward,distance_reward,tendon_efficiency_reward,success,gpu_memory_used
1758015683.1689754,1,0,0.002456030784044639,-0.007827709804444374,0.09474077460770758,0.2914345707942649,-0.9372026838313696,1.0280232157270788,0.08653199609517692,-31.23318428272509,-28.71689388342807,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.3890306862256227,0,0.8692169,0.070595086,0.46820432,0.0,1.0,-1.0,-1.0,-0.3003183,0.30645323,0.35849476,0.0,0,0.22666868369348758,0.14296528633006328,0.13415981635451316,False,0.008577024
1758015683.1706915,2,0,0.002210918407621451,-0.0075272514808044436,0.09512803618279671,-0.029413485170782572,0.03605499883679175,0.04647138901069603,-0.37476063696257,-0.3545628741848219,0.09834056831215321,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.3888109847413378,0,0.84043807,0.761022,0.6112559,0.45340124,-0.95573777,-1.0,1.0,0.9277192,-0.57605064,-0.10128614,0.0,0,0.18618882729912903,0.14312242104912903,0.12000618159770965,False,0.008577024
1758015683.1719046,3,0,-0.004165243125320612,-0.0056383946418244344,0.0957687597496127,-0.7651393839530476,0.22666282067760113,0.07688682801791913,-2.222873438718807,-7.611035367971283,-0.18153321101056008,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.3917356305199819,0,0.10805121,0.0,0.110575765,0.098026216,-1.0,1.0,1.0,0.1736328,-1.0,-0.4224847,0.0,0,0.2172034803515187,0.1410447373723498,0.1464376515895128,False,0.008577024
1758015683.173204,4,0,0.029093899795756148,-0.006915801486814557,0.1006058637580205,3.991097150529211,-0.1532888213988146,0.5804524810089351,-16.832066312686237,-23.72582206697443,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.36826554149903823,0,0.34814313,0.24713907,0.016252935,0.80363417,0.054558706,0.085269645,-1.0,-0.052170034,-1.0,-1.0,0.0,0,0.22869439478374054,0.15860670294023085,0.13407934606075286,False,0.008577024
1758015683.1742616,5,0,0.00921486260139092,0.00026282066143496364,0.08903563108537516,-2.3854844633238272,0.8614346577899424,-1.3884279207174417,46.98598842412929,-97.91989777652682,-55.50891471649856,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.3853584138322985,0,0.0,0.6752101,0.8316424,1.0,0.41844225,0.60785747,-0.54920864,-0.3969241,-0.6006658,-0.49592933,0.0,0,0.21882026517412298,0.14561457151195636,0.12179790794849396,False,0.008577024
1758015683.1752832,6,0,0.2260944925946131,-0.006107179201005447,0.2299486647788086,26.02555559918666,-0.7643999834928492,16.909564043212015,73.94207966108445,49.574294628014776,-82.18387160664751,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.19837653029225685,0,0.034996778,0.13803229,0.4685574,1.0,-1.0,-1.0,0.48266855,-0.3917817,-0.0908817,-0.36049944,0.0,0,0.4443325503397935,0.3708777997125143,0.13153215274214744,False,0.008577024
1758015683.1763947,7,0,0.2385070607260463,-0.014359306163175274,0.22786641298215463,1.489508175771985,-0.9902552354603794,-0.24987021559847555,46.197673839197016,-66.36053728784664,-72.84953020437933,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.20509188734184677,0,0.16504729,0.762674,0.45357528,1.0,1.0,0.15202636,1.0,0.21856819,0.43223765,-0.37490344,0.0,0,0.42277984246556,0.35863165900055605,0.12321041285991668,False,0.008577024
1758015683.17744,8,0,0.3231377846248956,-0.26102668517386335,0.2065971643423239,10.15568686786192,-29.60008548128257,-2.5523098367796893,-68.84533317079692,-12.407331524424416,55.34781928284943,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4414254690652933,0,0.0,0.51634216,0.062064677,0.4833832,-1.0,-1.0,-1.0,-1.0,-0.01776179,-1.0,0.0,0,0.1694883183041686,0.11001623366271199,0.13805486261844635,False,0.008577024
1758015683.1785107,9,0,0.3164480381038578,-0.21098272430805023,0.15751590712579197,-0.8027695825245355,6.005275303897573,-5.889750865983832,-71.71107481437483,-82.81352613566578,-71.95549347635801,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.41445626431062693,0,0.6472882,0.557334,0.24078465,0.56457525,0.45630598,1.0,-0.19390772,-0.8351903,-0.02580456,0.6924252,0.0,0,0.18163665221223413,0.12589823947438775,0.12738770127296448,False,0.008577024
1758015683.1794436,10,0,0.38154905255403676,-0.2673682924425508,0.2919681508366776,7.812121734021473,-6.7662681761400645,16.13426924530627,-100.0,6.0575082974815615,71.70510348216122,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4414398489959758,0,0.23818785,0.0,0.6094398,1.0,-1.0,-0.020443207,-1.0,-0.50918764,-0.19791397,-1.0,0.0,0,0.17163150790289508,0.11000832381800281,0.12921418905258178,False,0.008577024
