timestamp,step,episode,base_pos_x,base_pos_y,base_pos_z,base_vel_x,base_vel_y,base_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,target_pos_x,target_pos_y,target_pos_z,distance_to_target,finger_pos_0_x,finger_pos_0_y,finger_pos_0_z,finger_pos_1_x,finger_pos_1_y,finger_pos_1_z,finger_pos_2_x,finger_pos_2_y,finger_pos_2_z,finger_pos_3_x,finger_pos_3_y,finger_pos_3_z,palm_pos_x,palm_pos_y,palm_pos_z,tactile_finger_0,tactile_finger_1,tactile_finger_2,tactile_finger_3,num_active_fingers,total_contact_force,cmd_base_linear_x,cmd_base_linear_y,cmd_base_linear_z,cmd_base_angular_x,cmd_base_angular_y,cmd_base_angular_z,cmd_tendon_0,cmd_tendon_1,cmd_tendon_2,cmd_tendon_3,filtered_base_linear_x,filtered_base_linear_y,filtered_base_linear_z,filtered_base_angular_x,filtered_base_angular_y,filtered_base_angular_z,overlap_reward,contact_penalty,proximity_reward,quality_reward,overlap_volume,num_contacts,hand_hull_volume,object_hull_volume,reward,episode_reward,success
1763554606.0562723,10,10,-0.21619894,-0.9839732,0.46460864,-8.141126,-30.201447,43.243195,-85.958694,42.250282,88.752,0.26747283,0.13033868,0.30921754,1.2246534,-0.20481984,-0.9075145,0.31621405,-0.18179625,-0.9456421,0.26302814,-0.15918988,-0.9585597,0.20731877,-0.20364848,-0.8002587,0.3238991,-0.21619894,-0.9839732,0.46460864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.023327988,0.6264849,-1.0,-0.35029817,-0.088400505,0.7570479,0.3816134,-1.0,0.48756906,-0.4319039,0.30562314,-0.3310526,-0.3245629,0.073392615,0.0,-0.0,0.01715702522022954,0.0029330109570260277,0.0,0,0.00011742208508473443,0.0009782242060415254,0.020090036177255566,5.467591732005386,False
1763554606.0582204,11,11,-0.036466617,-1.3418906,0.78796595,42.939545,-85.74717,77.475784,-61.979477,62.751694,87.18051,0.26747283,0.13033868,0.30548105,1.5788065,-0.21408354,-1.0231544,0.5148621,-0.18593575,-1.0694366,0.4711255,-0.1584622,-1.0927936,0.42215213,-0.2530839,-0.92637527,0.48863286,-0.036466617,-1.3418906,0.78796595,0.0,0.0,0.0,0.0,0.0,0.0,-0.5013479,-1.0,0.22890103,-1.0,0.19772062,-1.0,0.46368012,1.0,1.0,0.5082819,0.49052936,-0.38248315,0.32492462,-0.27327976,-0.2730716,0.032889415,0.0,-0.0,0.008236706498418202,0.022699197179570585,0.0,0,0.0002348332312466493,0.0009782242060415254,0.030935903677988787,5.4985276356833745,False
1763554606.0602393,12,12,-0.44141707,-1.4087663,1.0408902,-97.377426,-15.904447,60.57109,-80.29068,-100.0,-48.487885,0.26747283,0.13033868,0.30157542,1.8487713,-0.009610494,-1.3621346,0.84228784,0.02394685,-1.4084387,0.8023232,0.044618864,-1.4368995,0.7527712,-0.087037966,-1.2948712,0.80992943,-0.44141707,-1.4087663,1.0408902,0.0,0.0,0.0,0.0,0.0,0.0,-0.074456654,-0.4763493,-0.48407632,0.044132747,-0.82084376,-0.39654553,-0.2076486,1.0,-0.31808245,1.0,0.4733052,-0.36427224,0.32686958,-0.23256727,-0.23795296,-0.024649968,0.0,-0.0,0.0013466652546259966,0.12382552966223204,0.0,0,0.0008355236461936587,0.0009782242060415254,0.12517219491685802,5.623699830600232,False
1763554606.0621889,13,13,-0.027686639,-1.6174548,1.2328616,99.11698,-49.946884,45.95189,-67.8835,56.18352,-86.64221,0.26747283,0.13033868,0.29750073,2.004196,-0.44187593,-1.4115349,1.1042529,-0.40894184,-1.4725242,1.0970637,-0.38039708,-1.5194641,1.0709124,-0.48208016,-1.351256,1.024766,-0.027686639,-1.6174548,1.2328616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.6034852,-1.0,-0.6704067,0.44292215,0.15854242,0.06179584,1.0,0.13127324,0.44579354,-0.3459249,0.30307066,-0.21164043,-0.22291112,-0.07936158,0.0,-0.0,0.00037204983248662754,0.08022727392375506,0.0,0,0.000576550007107105,0.0009782242060415256,0.08059932375624168,5.704299154356474,False
1763554606.0641472,14,14,-0.07012508,-1.4823728,1.3015995,-10.352092,32.540817,16.390215,-66.912186,77.48145,100.0,0.26747283,0.13033868,0.2932571,1.9317259,-0.011419102,-1.6049895,1.2928491,-0.0030930024,-1.6739805,1.2995262,-0.002454711,-1.7330308,1.2844954,-0.051021527,-1.554015,1.2068636,-0.07012508,-1.4823728,1.3015995,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.18498623,1.0,-0.44510472,1.0,-0.40440878,-1.0,0.45100784,-0.47439277,-0.42286825,0.41716474,-0.30282393,0.26724178,-0.21088502,-0.21429725,-0.116215594,0.0,-0.0,0.00019751596172368704,0.001366452432469134,0.0,0,0.00010811672744886619,0.0009782242060415254,0.0015639683941928212,5.705863122750667,False
1763554606.0661025,15,15,0.01514376,-1.2944669,1.565971,20.315456,45.19574,63.352028,-100.0,83.56342,46.00448,0.26747283,0.13033868,0.28884453,1.9299723,-0.047877252,-1.4476331,1.3495991,-0.005353836,-1.4999003,1.362924,0.017420406,-1.5570686,1.3614511,-0.124736324,-1.4437127,1.2739499,0.01514376,-1.2944669,1.565971,0.0,0.0,0.0,0.0,0.0,0.0,0.23205219,0.03484962,-0.094445944,0.11301253,0.80093527,0.62403,0.6402922,0.24610446,-0.59461534,-1.0,0.37266427,-0.24585117,0.24281794,-0.21921705,-0.1794312,-0.13673517,0.0,-0.0,0.0002334458647940657,0.006144550477798272,0.0,0,0.00013649862983812212,0.0009782242060415254,0.006377996342592338,5.712241119093259,False
1763554606.0680563,16,16,-0.22953527,-1.0797793,1.6542308,-58.85443,51.600372,21.095858,-59.87287,100.0,100.0,0.26747283,0.13033868,0.2842632,1.8942581,0.040760297,-1.2400299,1.584501,0.09442166,-1.2793534,1.606774,0.13224503,-1.3262712,1.611684,-0.053284988,-1.2777613,1.5484803,-0.22953527,-1.0797793,1.6542308,0.0,0.0,0.0,0.0,0.0,0.0,0.8811948,0.3467777,-0.723421,-0.26918018,1.0,0.059935395,-1.0,1.0,0.04888508,0.3717568,0.32866085,-0.18838601,0.21623819,-0.22171141,-0.112355456,-0.13817729,0.0,-0.0,0.00023696497731377149,0.039676322678409925,0.0,0,0.0003356773567097546,0.0009782242060415254,0.039913287655723696,5.752154406748983,False
1763554606.0700061,17,17,0.0508787,-0.83759516,1.3354765,67.1822,58.176323,-76.5711,-47.414192,100.0,93.37922,0.26747283,0.13033868,0.27951315,1.4487469,-0.22567089,-1.0171705,1.6523879,-0.15700583,-1.0262408,1.6499795,-0.10308324,-1.0548508,1.6510037,-0.29995987,-1.0939294,1.6664639,0.0508787,-0.83759516,1.3354765,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.1274803,0.16612041,-0.5729111,1.0,1.0,-1.0,0.6674701,1.0,-1.0,0.2928873,-0.1303207,0.17513318,-0.22462764,-0.021986336,-0.117372766,0.0,-0.0,0.0021785650868026197,0.09011460264164028,0.0,0,0.0006352807396913432,0.0009782242060415254,0.0922931677284429,5.844447574477426,False
1763554606.0719795,18,18,0.19568469,-0.822244,1.5447552,34.65184,3.716866,50.170185,76.35029,-68.023766,-86.90422,0.26747283,0.13033868,0.2745945,1.5893004,0.028065352,-0.78005594,1.3257987,0.08987383,-0.7662942,1.297114,0.14379779,-0.7747973,1.2707672,0.0014584843,-0.8703355,1.3783473,0.19568469,-0.822244,1.5447552,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5270781,0.8003349,0.55297905,-0.88828886,1.0,-0.5898908,-0.25637,0.0726852,1.0,0.2539925,-0.081463315,0.14178962,-0.22644876,0.066170536,-0.0682809,0.0,-0.0,0.0035295688306295975,0.07383283581822386,0.0,0,0.0005385670447602493,0.0009782242060415254,0.07736240464885347,5.92180997912628,False
1763554606.0739107,19,19,0.43761563,-0.71926814,1.2324431,57.97034,24.733242,-75.00265,-53.557682,-69.69046,-94.19196,0.26747283,0.13033868,0.2695073,1.2953863,0.19572468,-0.7596748,1.5512515,0.26339814,-0.7628158,1.5384493,0.3192095,-0.7906535,1.5380918,0.1277416,-0.8426649,1.5617455,0.43761563,-0.71926814,1.2324431,0.0,0.0,0.0,0.0,0.0,0.0,0.81857437,0.34111235,-0.95249355,0.6507309,0.8270072,0.14846061,-0.0022829892,-0.26235554,0.75634426,-0.22907385,0.23271362,-0.047604203,0.11934769,-0.20789826,0.12968794,0.00081972696,0.0,-0.0,0.00457938260729094,0.0956910810881334,0.0,0,0.0006684050216635122,0.0009782242060415254,0.10027046369542433,6.0220804428217045,False
