time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/entropy_loss,train/loss,train/clip_fraction,train/approx_kl,train/value_loss,train/std,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates
458,2048,1,4,,,,,,,,,,,
440,4096,1,4,-14.203485161066055,-0.014403998851776123,0.150927734375,0.014925905,0.9868723138235509,1.0013000965118408,0.2,0.0003,-0.037046796912909484,-1.451725959777832,10
433,6144,1,4,-14.212252339720726,-0.14989277720451355,0.19990234375,0.018410247,0.19456386683741583,1.0023139715194702,0.2,0.0003,-0.048272941767936575,-0.5322985649108887,20
393,8192,1,5,-14.210218983888627,0.0393061637878418,0.134130859375,0.012886831,0.5896766048157588,1.0019810199737549,0.2,0.0003,-0.035314113507047294,-0.31541121006011963,30
401,10240,1,5,-14.218194139003753,0.2390647828578949,0.130322265625,0.0133370925,0.4731125796213746,1.0035066604614258,0.2,0.0003,-0.042617962969234216,0.04083162546157837,40
415,12288,1,4,-14.229907643795013,-0.08824148774147034,0.1740234375,0.016498506,0.21397242997772992,1.0040254592895508,0.2,0.0003,-0.04905960741743911,-0.04127156734466553,50
397,14336,1,5,-14.282587891817093,-0.1191338449716568,0.217724609375,0.020413011,0.16730969755444675,1.0119117498397827,0.2,0.0003,-0.05043443288304843,-0.3278543949127197,60
363,16384,1,5,-14.342995283007621,-0.1337704360485077,0.227001953125,0.02109704,0.2458244529319927,1.0175672769546509,0.2,0.0003,-0.0559947956178803,0.06564569473266602,70
