time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/value_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/std,train/policy_gradient_loss,train/entropy_loss
5,2048,401,1,,,,,,,,,,,
10,4096,377,2,89755.54924316406,9.882450103759766e-05,0.011021239,0.0003,10,0.137841796875,41013.0390625,0.2,1.0002228021621704,-0.026923755390453153,-14.194201374053955
16,6144,369,3,88191.1057373047,0.0002518296241760254,0.006956916,0.0003,20,0.0619140625,47626.890625,0.2,0.9987934231758118,-0.016879714364768005,-14.183914080262184
22,8192,359,4,82269.9856201172,0.003070056438446045,0.0063511906,0.0003,30,0.043798828125,41987.8515625,0.2,1.0014135837554932,-0.013320771999133285,-14.189853370189667
28,10240,353,5,60685.66031494141,0.015712618827819824,0.008478962,0.0003,40,0.071728515625,28800.47265625,0.2,1.0013537406921387,-0.016555394054739735,-14.20370867550373
35,12288,348,6,64277.84382324219,0.001415848731994629,0.008811075,0.0003,50,0.080908203125,27840.279296875,0.2,1.0007829666137695,-0.019827850628644228,-14.198587343096733
42,14336,341,7,111659.86469726563,0.000179290771484375,0.008227818,0.0003,60,0.065185546875,49221.3984375,0.2,1.001319169998169,-0.01666394707572181,-14.202590784430503
48,16384,334,8,85287.28654785156,0.000767052173614502,0.00997659,0.0003,70,0.09130859375,40708.34375,0.2,0.9991000294685364,-0.02409304501779843,-14.190716296434402
55,18432,329,9,88938.20828857421,0.00012701749801635742,0.009758718,0.0003,80,0.098974609375,46497.140625,0.2,1.0046906471252441,-0.02123793336795643,-14.210473540425301
63,20480,324,10,68610.246875,-2.3484230041503906e-05,0.009784939,0.0003,90,0.09462890625,33544.39453125,0.2,1.0055574178695679,-0.022593705049075652,-14.242630836367606
70,22528,319,11,94678.63947753907,6.753206253051758e-05,0.010019319,0.0003,100,0.121630859375,44885.8671875,0.2,1.0064575672149658,-0.026330759993288665,-14.247436222434043
78,24576,311,12,75448.13648681641,1.8477439880371094e-06,0.010588299,0.0003,110,0.1046875,36661.26953125,0.2,1.0102620124816895,-0.02405265383713413,-14.27250466644764
87,26624,305,13,98366.69770507813,1.6570091247558594e-05,0.008178841,0.0003,120,0.076123046875,44536.0625,0.2,1.0135120153427124,-0.019898514260421506,-14.307261767983437
96,28672,297,14,65411.58087158203,7.486343383789062e-05,0.0114059225,0.0003,130,0.114501953125,32387.791015625,0.2,1.0154560804367065,-0.028131209796993063,-14.333209750056266
110,30720,279,15,82378.42843017579,-0.0004197359085083008,0.00925979,0.0003,140,0.095703125,39812.3203125,0.2,1.0182230472564697,-0.024961234180955215,-14.359782525897026
120,32768,271,16,85861.19919433593,7.098913192749023e-05,0.010883439,0.0003,150,0.117626953125,44098.36328125,0.2,1.0194498300552368,-0.027133832668187096,-14.377179199457169
132,34816,263,17,70797.39539794922,-0.0025339126586914062,0.010073445,0.0003,160,0.102294921875,35787.68359375,0.2,1.0205129384994507,-0.02461494587478228,-14.384851884841918
