time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/policy_gradient_loss,train/loss,train/std,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/explained_variance,train/clip_fraction
2048,140,1,14,,,,,,,,,,,
4096,136,1,14,-14.18837927877903,-0.03930157558352221,-0.10605059564113617,0.9998998641967773,0.016818944,0.42646673559211196,10,0.2,0.0003,-1.5229222774505615,0.15927734375
6144,137,1,14,-14.207441315054893,-0.04366935904254206,-0.1594213843345642,1.0025333166122437,0.015748251,0.3528961495961994,20,0.2,0.0003,-0.9528872966766357,0.16982421875
8192,130,1,15,-14.220895397663117,-0.04814808254595846,-0.15962815284729004,1.0028266906738281,0.01568848,0.2540104238549247,30,0.2,0.0003,-0.001871943473815918,0.17958984375
