time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/std,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss
96256,252,381,47,66348.14576416016,0.15830078125,-14.915179833769798,460,0.0,0.2,1.0774863958358765,35427.57421875,0.014727502,0.0003,-0.033625320880673826
98304,247,397,48,78501.38420410156,0.14453125,-14.941193333268165,470,-0.01917397975921631,0.2,1.081765055656433,39702.96875,0.013348147,0.0003,-0.029832641512621196
100352,243,412,49,77756.09552001953,0.146826171875,-14.970506918430328,480,2.384185791015625e-07,0.2,1.0841186046600342,37296.61328125,0.014163858,0.0003,-0.030207335646264256
102400,239,427,50,49829.76955566406,0.15830078125,-14.989354553818703,490,-1.1920928955078125e-07,0.2,1.0852097272872925,23714.19140625,0.01534858,0.0003,-0.03213796324125724
104448,235,443,51,46023.07321777344,0.160107421875,-14.989983296394348,500,0.0,0.2,1.0844461917877197,20439.2578125,0.013240382,0.0003,-0.033603124250657854
106496,230,461,52,55251.522399902344,0.150830078125,-14.978327244520187,510,1.1920928955078125e-07,0.2,1.083062767982483,28066.6953125,0.015574649,0.0003,-0.03281136830046307
108544,227,476,53,66265.07175292968,0.149462890625,-14.973752877116203,520,5.960464477539063e-08,0.2,1.083602786064148,27805.76171875,0.013074201,0.0003,-0.03242795639525866
110592,224,493,54,60204.29243164063,0.162744140625,-15.007611247897149,530,1.7881393432617188e-07,0.2,1.0889126062393188,31559.099609375,0.015489939,0.0003,-0.03162468164955499
112640,219,513,55,48047.0474975586,0.162890625,-15.031502896547318,540,0.0,0.2,1.0904054641723633,17907.0625,0.015014777,0.0003,-0.032615447424177546
114688,213,536,56,58915.5435546875,0.131005859375,-15.03997432589531,550,-1.1920928955078125e-07,0.2,1.0902347564697266,27201.78125,0.0127524305,0.0003,-0.02862998298369348
116736,208,560,57,55089.168139648435,0.143603515625,-15.03945971429348,560,0.0,0.2,1.0914074182510376,28439.748046875,0.013273889,0.0003,-0.03187069543200778
118784,201,588,58,53395.615783691406,0.148486328125,-15.051298078894614,570,-0.007737994194030762,0.2,1.0930798053741455,29429.90234375,0.0133008575,0.0003,-0.030880541779333727
120832,195,619,59,57960.95349121094,0.160205078125,-15.086319291591645,580,1.3709068298339844e-06,0.2,1.0977036952972412,25351.87109375,0.01458454,0.0003,-0.031830331159289925
122880,189,650,60,44533.65986328125,0.151318359375,-15.10743139386177,590,1.704692840576172e-05,0.2,1.0987343788146973,22755.19921875,0.014591739,0.0003,-0.02953980562160723
124928,183,681,61,59062.69693603516,0.162158203125,-15.143370860815049,600,-1.1920928955078125e-07,0.2,1.1046611070632935,27141.828125,0.015571959,0.0003,-0.03273940647777636
126976,178,712,62,55133.245336914064,0.147216796875,-15.168630430102349,610,0.0,0.2,1.1054821014404297,25339.51953125,0.01370292,0.0003,-0.030560905634774826
129024,173,743,63,56565.23621826172,0.14072265625,-15.183440479636193,620,0.0,0.2,1.108659029006958,22307.40625,0.013736019,0.0003,-0.02959512195084244
131072,169,775,64,27871.098883056642,0.193359375,-15.173096182942391,630,-2.384185791015625e-07,0.2,1.1035274267196655,12044.7158203125,0.017066976,0.0003,-0.03609877370472532
133120,164,808,65,47469.75290527344,0.147216796875,-15.173283630609513,640,5.960464477539063e-08,0.2,1.106475591659546,26497.484375,0.014374848,0.0003,-0.033879362540028525
