time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,train/std,train/n_updates,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/value_loss
7,256,1,2048,,,,,,,,,,,
7,521,2,4096,-0.017347501608310268,0.0916015625,0.2,1014.2725830078125,0.9978142976760864,10,-14.176120501756667,0.008801915,0.0003,-0.001826643943786621,1873.4771995544434
7,776,3,6144,-0.01742233736003982,0.08525390625,0.2,580.2921142578125,0.9937875866889954,20,-14.143503567576408,0.009085054,0.0003,0.31093311309814453,1262.9413890838623
7,1029,4,8192,-0.01946830503293313,0.123046875,0.2,349.8505859375,0.9932163953781128,30,-14.123488023877144,0.011637872,0.0003,0.24399608373641968,938.4777763366699
7,1283,5,10240,-0.024754077311081348,0.138671875,0.2,191.23548889160156,0.9926676750183105,40,-14.115532717108726,0.012875775,0.0003,0.19163835048675537,706.2634647369384
